Filename,Corrected sentence,Predicted sentence,WER from jiwer,Substitutions,Deletions,Insertions,Correct,N,Our WER
sm04120703328.txt,voditelj projekta krešimir viduka,voditelj projekta krešimir viduka,0.0,0,0,0,4,0,0.0
sm04120703279.txt,da će ga mnogi naraštaji studenata pamtiti kao vrsnog pedagoga i profesora,ga mnogi naraštaj studenata pamtiti kao mrsno pedagoga i profesor,0.5,3,0,2,7,5,0.5
sm04161204427.txt,među glavnim optuženicima su jedan alžirac i jedan francuz,među glavnim optuženima su jedan azira tjedan francuzi,0.625,4,0,1,4,5,0.625
sm04140703223.txt,bomba je bila podmetnuta u podrumu zgrade parlamenta,bi bila podmetnuta u podrumu zgrade parlamenta,0.2857142857142857,1,0,1,6,2,0.2857142857142857
sm04300104117.txt,najvećim dijelom prebrodila materijalne posljedice rata,najveće dijelom prebrodila materijalne posledice rata,0.3333333333333333,2,0,0,4,2,0.3333333333333333
sm04300104130.txt,nezavisni sindikat zaposlenih u riječkoj luci danas je konferencijom za novinstvo obilježio šest godina,nezavisni sindikat zaposlenih u riječ koju ruci danas je konferencija za novinare obilježja šest godina,0.4,5,1,0,9,6,0.4
sm04070105155.txt,samouprave,unknownvalueerror,1.0,1,0,0,0,1,1.0
sm04310105117.txt,kina je razmjestila sedamsto šest raketa na svojoj jugoistočnoj obali ,kine razmislila 706 raketa na svojoj jugoistočnoj obali,0.625,3,0,2,5,5,0.625
sm04140105133.txt,ali,unknownvalueerror,1.0,1,0,0,0,1,1.0
sm04060105426.txt,rekao je premijer,pripremi,3.0,1,0,2,0,3,3.0
sm04170105336.txt,među gotovo pet tisuća uzvanika su francuski predsjednik žak širak i britanski premijer toni bler,yugo 5.000 nika su francuski predsednik žak širak i britanski premijer tony blair,0.6153846153846154,6,0,2,7,8,0.6153846153846154
sm04140105139.txt,planira njezino ubojstvo,mira njezino ubojstvo,0.3333333333333333,1,0,0,2,1,0.3333333333333333
sm04010105350.txt, tome treba dodati i pomoć vlade od četrdeset šest milijuna dolara,to mi treba dodati pomoć vlade od 46 miliona dolara,0.6,3,1,2,6,6,0.6
sm04140105239.txt,biometeorološki će utjecaj biti vrlo povoljan,biometeorološke će utjecaj biti vrlo nepovoljan,0.3333333333333333,2,0,0,4,2,0.3333333333333333
sm04170105310.txt,predsjedniku mesiću na ponovnom je izboru čestitao i britanski ministar za europu denis mekšejn,predsjednik u mesiću naponom je izboru čestitao i britanski ministar za evropu denis mekše,0.42857142857142855,6,0,0,8,6,0.42857142857142855
sm04120703152.txt, ilok jedan dva četiri sto dvadeset četiri,12 424,3.5,2,0,5,0,7,3.5
sm04111204150.txt,tri dva devet tristo dvadeset devet slavonski brod tri nula šest,329 329 slavonski brod 306,1.8,3,0,6,2,9,1.8
sm04070105166.txt,za predsjedničke izbore,za predsedničke izbore,0.3333333333333333,1,0,0,2,1,0.3333333333333333
sm04251202305.txt,u subotu i nedjelju većinom oblačno i osjetno toplije povremeno s kišom zapuhat će mjestimice umjeren jugozapadnjak,u subotu i nedelju većinom oblačno i još jedno toplije povremeno s kišom za puhati mjeseca umirem jugozapadne,0.4444444444444444,7,1,0,10,8,0.4444444444444444
sm04140602305.txt,i prognoza za slijedećih dvanaest sati sunčano tiho ili burin danju slab maestral ,i prognoza za sljedećih 12 sati sunčano tiho ili burim danju slab mestral,0.3076923076923077,4,0,0,9,4,0.3076923076923077
sm04300104162.txt,u kojemu svake godine prezimi oko pedeset tisuća ptica,u kojemu svake godine prezimi oko 50.000 petica,0.375,2,0,1,6,3,0.375
sm04170105202.txt,no elektronički mediji na hrvatskom jeziku u hercegovini ističu predsjednikovu izjavu,elektronički mediji na hrvatskom jeziku u hercegovini ističu predsjednika u izjavu,0.2727272727272727,1,1,1,9,3,0.2727272727272727
sm04070105203.txt,manje poteškoće zbog visokih temperatura zraka za ovo doba godine mogu imati samo iznimno osjetljivi ljudi,manji poteškoće zbog visokih temperatura zraka za ovo doba godine mogu imati samo iznimno osjeti ljudi,0.125,2,0,0,14,2,0.125
sm04270402312.txt,i prognoza za slijedećih dvanaest sati,i prognoza za sljedećih 12 sati,0.3333333333333333,2,0,0,4,2,0.3333333333333333
sm04171204135.txt,vukovar sedam šest sedamdeset šest ilok jedan tri dva sto trideset dva,vukovar 76 76 ilok 132 132,1.6666666666666667,4,0,6,2,10,1.6666666666666667
sm04060105408.txt,budući da je bilo raznih nagađanja o cijeni zahvata i načinu plaćanja,budući da je bilo raznih nagađanja o cijeni zahvata i načinu plaćanja,0.0,0,0,0,12,0,0.0
sm04140703327.txt,hrvatske lječničke komore hrvoje minigo,gradske komore hrvoje minigo,0.5,1,0,1,3,2,0.5
sm04090402409.txt,i prognoza za slijedećih dvanaest sati,i prognoza za sljedećih 12 sati,0.3333333333333333,2,0,0,4,2,0.3333333333333333
sm04170105332.txt,bit će sutra domaćin političke elite,biće sutra domaćin političke elite,0.4,1,0,1,4,2,0.4
sm04250502305.txt,i prognoza za slijedećih dvanaest sati slab jugozapadni vjetar i jugo more malo valovito,i prognoza za sljedećih 12 sati slab jugozapadni vjetar i yugo more malo i to,0.3333333333333333,4,1,0,10,5,0.3333333333333333
sm04060105501.txt,ili su zbog rata prestale postojati,isus bog rata prestani postojati,0.8,3,0,1,2,4,0.8
sm04120703117.txt,razgledao je spomen sobu dubrovačkih branitelja,razgledao je spomen sobu dubrovačkih branitelja,0.0,0,0,0,6,0,0.0
sm04070105114.txt,idućih osam godina,idućih osam godina,0.0,0,0,0,3,0,0.0
sm04111204143.txt,ilok jedan sedam nula sto sedamdeset,ilok 170 170,1.6666666666666667,2,0,3,1,5,1.6666666666666667
sm04020204342.txt,na sjednici je bio i predsjednik stjepan mesić koji je podsjetio na slavnu prošlost dubrovnika i nekadašnje dubrovačke republike,sjednica je bio i predsjednik stjepan mesić koje posjetio ona slavnu prošlost dubrovnika i nekadašnje dubrovačke republike,0.35294117647058826,4,0,2,13,6,0.35294117647058826
sm04120703202.txt,vozi se u kolonama bez zastoja,vozi se u kolonama bez zastoja,0.0,0,0,0,6,0,0.0
sm04140105127.txt,u kojima su razmješteni vojnici,u kojima su razmišljali vojnici,0.2,1,0,0,4,1,0.2
sm04060105494.txt,u sjeveroistočnoj pokrajini,sjever istočno pokreni,1.0,3,0,0,0,3,1.0
sm04140105233.txt,neprestance potvrđuju donacije,prestani se potvrđuju dodaci,0.75,2,1,0,1,3,0.75
sm04140703337.txt,na kliničkim ispitivanjima lijekova,ispitivanje na lijekova,1.0,2,0,1,1,3,1.0
sm04140105215.txt,istodobno su pozvale vladu u beogradu,odavno se upoznali vladu u beogradu,0.5,3,0,0,3,3,0.5
sm04010105140.txt, u nekim se gradovima nisu niti održale velike novogodišnje proslave,u nekim sa gradovima nisu niti održale velike novogodišnje proslave,0.1,1,0,0,9,1,0.1
sm04170105352.txt,ožujak,može,1.0,1,0,0,0,1,1.0
sm04171204138.txt,sava zagreb minus dva jedan sedam minus dvjesto sedamnaest crnac minus jedan šest minus šesnaest,sava zagreb minus 217 - 217 crnac minus 1.6 16,1.0,5,0,5,5,10,1.0
sm04060105402.txt,koji su mu ispravno postavili dijagnozu rijetke lokacije malignoma,mu ispravno postaviti dijagnozu rijetke lokacije malignom,0.5714285714285714,2,0,2,5,4,0.5714285714285714
sm04300104154.txt,vlasti u hong kongu zatvorile su sve prostore,vlasti u hong kongu zatvorile su sve prostore,0.0,0,0,0,8,0,0.0
sm04310105305.txt,inače talijanska tvrtka gradi pet tisuća sedamsto šezdeset metara dugi tunel mala kapela a budući da je njegova izgradnja pri kraju upravo danas većina njihovih djelatnika ,inače italijanska tvrtka gradi 5760 m dugi tunel mala kapela a budući da je njegova izgradnja pri kraju upravo danas većina njihovih djelatnika,0.2608695652173913,3,0,3,20,6,0.2608695652173913
