Filename,Corrected sentence,Predicted sentence,WER from jiwer,Substitutions,Deletions,Insertions,Correct,N,Our WER,MER from jiwer,WIL from jiwer
sm04120703328.txt,voditelj projekta krešimir viduka,voditelj projekta krešimir viduka,0,0,0,0,4,4,0,0,0
sm04120703279.txt,da će ga mnogi naraštaji studenata pamtiti kao vrsnog pedagoga i profesora,ga mnogi naraštaj studenata pamtiti kao prsno pedagoga i profesor,0.5,3,0,2,7,10,0.5,0.416666667,0.591666667
sm04161204427.txt,među glavnim optuženicima su jedan alžirac i jedan francuz,među glavnim optuženima su jedan azira tjedan francuzi,0.625,4,0,1,4,8,0.625,0.555555556,0.777777778
sm04140703223.txt,bomba je bila podmetnuta u podrumu zgrade parlamenta,bum bi bila podmetnuta u podrumu zgrade parlamenta,0.25,2,0,0,6,8,0.25,0.25,0.4375
sm04300104117.txt,najvećim dijelom prebrodila materijalne posljedice rata,najveće dijelom prebrodila materijalne posledice rata,0.333333333,2,0,0,4,6,0.333333333,0.333333333,0.555555556
sm04300104130.txt,nezavisni sindikat zaposlenih u riječkoj luci danas je konferencijom za novinstvo obilježio šest godina,nezavisni sindikat zaposlenih u riječ koju si danas je konferencija za novinare obilježja od šest godina,0.4375,5,2,0,9,16,0.4375,0.4375,0.638392857
sm04070105155.txt,samouprave,unknownvalueerror,1,1,0,0,0,1,1,1,1
sm04310105117.txt,kina je razmjestila sedamsto šest raketa na svojoj jugoistočnoj obali ,kine razmislila 706 raketa na svojoj jugoistočnoj obali,0.625,3,0,2,5,8,0.625,0.5,0.6875
sm04140105133.txt,ali,ali,0,0,0,0,1,1,0,0,0
sm04060105426.txt,rekao je premijer,pripremi,3,1,0,2,0,1,3,1,1
sm04170105336.txt,među gotovo pet tisuća uzvanika su francuski predsjednik žak širak i britanski premijer toni bler,youtube opet 1.000 zvanica su francuski predsednik žak širak i britanski premijer tony blair,0.571428571,7,0,1,7,14,0.571428571,0.533333333,0.766666667
sm04140105139.txt,planira njezino ubojstvo,njezina ubojstvo,1,1,0,1,1,2,1,0.666666667,0.833333333
